"","Coauthor","Paper","Journal","AuthorID","PaperID"
"1975","AMLexa;DHJohnson","A new look at the informational gain of soft decisions ","ICASSP",109,1975
"1976","AMLexa;DHJohnson","Optimizing binary decision systems by manipulating transmission intervals ","",109,1976
"1977","CSMiller;DHJohnson;JPSchroeter;LMyint;RMGlantz","Visual responses of crayfish ocular motoneurons: An information theoretical analysis ","J Computational Neuroscience",109,1977
"1978","CSMiller;DHJohnson;JPSchroeter;LLMyint;;RMGlantz","Visual signal in an optomotor reflex: Systems ; information theoretic analysis ","J Computational Neuroscience",109,1978
"1979","ClydeSMiller;JohnPSchroeter;LayLMyint;RaymonMGlantz","Visual Signals in an Optomotor Reflex: Systems and Information Theoretic Analysis ","Journal of Computational Neuroscience",109,1979
"1980","CRozell;DHJohnson","Information processing during transient responses in the crayfish visual system ","",109,1980
"1981","ChandranSeshagiri;CharlotteMGruner;KeithABaggerly","Information-Theoretic Analysis of Neural Coding ","Journal of Computational Neuroscience",109,1981
"1982","SSinanovic;DHJohnson","Toward a theory of information processing ","International Symposium Information Theory",109,1982
"1983","WWang;DHJohnson","Linear transforms of symbolic data ","IEEE Trans Signal Processing",109,1983
"1984","LYue;DHJohnson","Optimal binaural processing based on point process models of preprocessed cues ","J Acoust Soc Am",109,1984
"1985","MZacksenhouse;DHJohnson;JWilliams;;CTsuchitani","Single-neuron modeling of LSO unit responses ","J Neurophysiol",109,1985
"1986","JudithGBrodman","What Small Business and Small Organizations Say About the CMM: Experience Report ","ICSE International Conference Software Engineering",110,1986
"1987","JudithGBrodman","A Software Process Improvement Approach Tailored for Small Organizations and Small Projects Tutorial ","ICSE International Conference Software Engineering",110,1987
"1988","JudithGBrodman","Return on Investment ROI from Software Process Improvement as Measured by US Industry ","Software Process Improvement and Practice",110,1988
"1989","JudithGBrodman","Applying CMM Project Planning Practices to Diverse Environments ","IEEE Software",110,1989
"1990","JudithGBrodman","Realities and Rewards of Software Process Improvement ","IEEE Software",110,1990
"1991","TosiyasuLKunii","Visual Translation: From Native Language to Sign Language ","VL Visual Languages",216,1991
"1992","","Notational Representation of Sign Language: A Structural Description of Hand Configuration ","ICCHP International Conference Computers for Handicapped Persons",216,1992
"1993","YanSolihin;JaejinLee;JosepTorrellas","Memory-Side Correlation Prefetching Using a General-Purpose Core in Memory"," the th Annual International Symposium Computer Architecture ISCA International Symposium Computer Architecture",126,1993
"1994","YanSolihin;JaejinLee;JosepTorrellas","Prefetching in an Intelligent Memory Architecture Using a Helper Thread,","Proceedings of Workshop Multithreaded Execution Architecture and Compilation MTEAC",126,1994
"1995","YanSolihin;JaejinLee;JosepTorrellas","Automatic Code Mapping on an Intelligent Memory Architecture"," An extended version of IEEE Transactions Computers Special Issue Advances High Performance Memory Systems",126,1995
"1996","JosepTorrellas;YanSolihin","Correlation Prefetching with a User-Level Memory Thread ","IEEE Trans Parallel Distrib Syst",126,1996
"1997","JosepTorrellas;YanSolihin","Adaptively Mapping Code in an Intelligent Memory Architecture ","Intelligent Memory Systems",126,1997
"1998","JosepTorrellas;YanSolihin","Automatic Code Mapping on an Intelligent Memory Architecture ","IEEE Trans Computers",126,1998
"1999","JosepTorrellas;YanSolihin","Automatically Mapping Code on an Intelligent Memory Architecture ","HPCA International Symposium High Performance Computer Architecture",126,1999
"2000","Chi-LeungWong;DavidAPadua;SamuelPMidkiff;XingFang;ZehraSura","The Pensieve Project: A Compiler Infrastructure for Memory Models ","ISPAN",126,2000
"2001","AncaBrowne;ArjunKapur;EdwardYChang;HarishDevarajan;HennySipma;LucadeAlfaro;MichaelCol&oacute;n;NikolajBj&oslash;rner;Tom&aacute;sEUribe;ZoharManna","STeP: The Stanford Temporal Prover ","TAPSOFT",126,2001
"2002","JaejinLee;DavidAPadua;SamuelPMidkiff","Basic Compiler Algorithms for Explicitly Parallel Programs"," An extended version of to ACM Transactions Programming Languages and Systems",126,2002
"2003","JaejinLee;DavidAPadua;SamuelPMidkiff","Basic Compiler Algorithms for Parallel Programs"," Proceedings of the th ACM SIGPLAN Special Interest Group Programming Languages Symposium Principles and Practice of Parallel Programming PPoPP",126,2003
"2004","JaejinLee;YanSolihin;JosepTorrellas","Automatically Mapping Code on an Intelligent Memory Architecture"," Proceedings of the th International Symposium High Performance Computer Architecture HPCA International Symposium High Performance Computer Architecture",126,2004
"2005","JaejinLee","Compilation Techniques for Explicitly Parallel Programs"," Ph D Thesis Technical Report UIUCDCS R Department of Computer Science University of at",126,2005
"2006","SamuelPMidkiff;JaejinLee;DavidAPadua"," A Compiler for Multiple Memory Models ;","The th Workshop Compilers for Parallel Computers CPC",126,2006
"2007","JaejinLee;SamuelPMidkiff;DavidAPadua","Concurrent Static Single Assignment Form and Constant Propagation for Explicitly Parallel Programs"," Proceedings of the th International Workshop Languages and Compilers for Parallel Computing LCPC Languages and Compilers for Parallel Computing Lecture Notes Computer Science Springer Twin Cities",126,2007
"2008","DavidAPadua;SamuelPMidkiff","Basic Compiler Algorithms for Parallel Programs ","PPOPP Principles Practice of Parallel Programming",126,2008
"2009","JaejinLee;SamuelPMidkiff;DavidAPadua","A Constant Propagation Algorithm for Explicitly Parallel Programs"," International Journal of Parallel Programming",126,2009
"2010","DavidAPadua;SamuelPMidkiff","Concurrent Static Single Assignment Form and Constant Propagation for Explicitly Parallel Programs ","LCPC Languages and Compilers for Parallel Computing",126,2010
"2011","JaejinLee;DavidAPadua","Hiding Relaxed Memory Consistency with a Compiler"," An extended version of IEEE Transactions Computers Special Issue Parallel Architectures and Compilation Techniques",126,2011
"2012","DavidAPadua;SamuelPMidkiff","A Constant Propagation Algorithm for Explicitly Parallel Programs ","International Journal of Parallel Programming",126,2012
"2013","JaejinLee","Hiding the Java Memory Model with Compilers"," Technical Report MSU CSE Presented the OOPSLA Conference Object Oriented Programming Systems Languages and Applications workshop Revising the Java Thread Specification Department of Computer Science and Engineering State University",126,2013
"2014","DavidAPadua","Hiding Relaxed Memory Consistency with Compilers ","IEEE PACT Parallel Computing Technologies",126,2014
"2015","JaejinLee;DavidAPadua","Parallel Static Single Assignment Form and Constant Propagation for Explicitly Parallel Programs"," Proceedings of the HPCA International Symposium High Performance Computer Architecture Workshop Interaction between Compilers and Computer Architectures San Antonio",126,2015
"2016","DavidAPadua","Hiding Relaxed Memory Consistency with a Compiler ","IEEE Trans Computers",126,2016
"2017","DavidAPadua;JayHoeflinger;JohnGrout;LawrenceRauchwerger;PengTu;RamonDoallo;RudolfEigenmann;ThomasLawrence;WilliamBlume;WilliamMPottenger;YunheungPaek","Parallel Programming with Polaris ","IEEE Computer",126,2017
"2018","DavidAPadua;JayHoeflinger;JohnGrout;KeithFaigin;LawrenceRauchwerger;PaulPetersen;PengTu;RudolfEigenmann;StephenWeatherford;ThomasLawrence;WilliamBlume;WilliamMPottenger;YunheungPaek","Restructuring Programs for High-Speed Computers with Polaris ","ICPP International Conference Parallel Processing Workshop",126,2018
"2019","YanSolihin;JaejinLee;JosepTorrellas","Adaptively Mapping Code in an Intelligent Memory Architecture"," Proceedings of the Workshop Intelligent Memory Systems",126,2019
"2020","","Desiderata in Agent Architectures for Coordinating Multi-Agent Systems ","PRIMA International Workshop Multi Agents",127,2020
"2021","","Reactive-System Approaches to Agent Architectures ","ATAL Agent Theories Architectures and Languages",127,2021
"2022","EdmundHDurfee;VictorRLesser;DanielDCorkill","Cooperative Distributed Problem Solving,","A Barr P Cohen and E Feigenbaum Wesley",127,2022
"2023","EdmundHDurfee;VictorRLesser;DanielDCorkill","Distributed Problem Solving,","S Shapiro ed Encyclopedia of Artificial Intelligence second edition Wiley",127,2023
"2024","EdmundHDurfee;JeffreySRosenschein","Distributed Problem Solving and Multi-Agent Systems: Comparisons and Examples ","Proceedings of the Thirteenth International Distributed Artificial Intelligence Workshop pages",127,2024
"2025","EdmundHDurfee;PiotrJGmytrasiewicz","Overeager Reciprocal Rationality and Mixed Strategy Equilibria ","AAAI National Conference Artificial Intelligence",127,2025
"2026","SukIYoo;YongSChoi","Hierarchial Multi-agent Organization for Text Database Discovery ","PRIMA International Workshop Multi Agents",127,2026
"2027","EdmundHDurfee","On Explicit Plan Languages for Coordinating Multiagent Plan Execution ","ATAL Agent Theories Architectures and Languages",127,2027
"2028","EdmundHDurfee","Structured Circuit Semantics for Reactive Plan Execution Systems ","AAAI National Conference Artificial Intelligence",127,2028
"2029","EdmundHDurfee;MarcusJHuber;MichaelKurnow","TAIPE: Tactical Assistants for Interaction Planning and Execution ","Agents",127,2029
"2030","EdmundHDurfee;VictorRLesser;DanielDCorkill","Trends in Cooperative Distributed Problem Solving ","IEEE Transactions Knowledge and Data Engineering KDE",127,2030
"2031","EdmundHDurfee","Blissful Ignorance: Knowing Just Enough to Coordinate Well ","Proceedings of the First International Conference Multi Agent Systems",127,2031
"2032","EdmundHDurfee","What Your Computer Really Needs to Know, You Learned in Kindergarten ","Proceedings of the Tenth National Conference Artificial Intelligence pages",127,2032
"2033","EdmundHDurfee","Planning in Distributed Artificial Intelligence,","G O Hare and N eds Foundations of Distributed Artificial Intelligence Wiley",127,2033
"2034","EdmundHDurfee","The Distributed Artificial Intelligence Melting Pot ","IEEE Transactions Systems Man and Cybernetics Special Issue Distributed Artificial Intelligence SMC",127,2034
"2035","DaeEunKim","Handling Continuous-Valued Attributes in Decision Tree with Neural Network Modelling ","ECML European Conference Machine Learning",127,2035
"2036","DaeEunKim","Instance-Based Method to Extract Rules from Neural Networks ","ICANN Int Conference Artificial Neural Networks",127,2036
"2037","DaeEunKim","Rule Reduction over Numerical Attributes in Decision Tree Using Multilayer Perceptron ","PAKDD Pacific Asia Conference Knowledge Discovery and Data Mining",127,2037
"2038","JungJinLee","An Adaptable Dialog Interface Agent Using Meta-Rules ","FLAIRS The AI Research Society Conference Conference",127,2038
"2039","SukIYoo;YongSChoi","Hierarchically Organized Neural Net Agents for Distributed Web Information Retrieval ","COMPSAC International Computer Software and Applications Conference",127,2039
"2040","PCWong","Performance Analysis of a Pull-Based Parallel Video Server ","IEEE Trans Parallel Distrib Syst",128,2040
"2041","YWWong;JackYBLee","Recursive Patching An Efficient Technique for Multicast Video Streaming,","Proc th International Conference Information Systems ICEIS International Conference Information Systems Angers",128,2041
"2042","PCWong","Redundant Array of Inexpensive Servers RAIS for On-Demand Multimedia Services ","ICC International Conference Communications",128,2042
"2043","JackYBLee","On a Unified Architecture for Video-on-Demand Services,","IEEE Transactions Multimedia",128,2043
"2044","JackYBLee;PCWong","Performance Analysis of a Pull-Based Parallel Video Server,","IEEE Transactions Parallel and Distributed Systems",128,2044
"2045","JackYBLee","Parallel Video Servers A Tutorial,","IEEE Multimedia",128,2045
"2046","JackYBLee","Optimizing Channel Allocation in a Unified Video-on-Demand System,","IEEE Transactions Circuits and Systems for Video Technology",128,2046
"2047","PCWong","A Server Array Approach for Video-On-Demand Service on Local Area Networks ","INFOCOM The Conference Computer Communications",128,2047
"2048","JackYBLee","Supporting Server-Level Fault Tolerance in Concurrent-Push-Based Parallel Video Servers,","IEEE Transactions Circuits and Systems for Video Technology",128,2048
"2049","PCWong","The Effect of Function Noise on GP Efficiency ","Evo Workshops",128,2049
"2050","JackYBLee;WTLeng","Study of a Server-less Architecture for Video-on-Demand Applications,","Proc IEEE International Conference Multimedia and Expo Lausanne",128,2050
"2051","YBLee;PCWong","Designing a Server Array System for Multimedia World-Wide-Web Services,","Workshop Resource Management Computer Systems and Networks Eighth IEEE Symposium Parallel and Distributed Processing New Orleans",128,2051
"2052","JackYBLee","Staggered Push - A Linearly Scalable Architecture for Push-Based Parallel Video Servers,","IEEE Transactions Multimedia",128,2052
"2053","YBLee;PCWong","A Server Array Approach for Video-on-demand Service on Local Area Networks,","Proc IEEE INFOCOM The Conference Computer Communications",128,2053
"2054","JackYBLee;JohnCSLui","Automatic Recovery from Disk Failure in Continuous-Media Servers,","IEEE Transactions Parallel and Distributed Systems",128,2054
"2055","YBLee;PCWong","Storage Rebuild for Automatic Failure Recovery in Video-on-Demand Servers,","Proc IEEE ISCE",128,2055
"2056","RaymondWTLeung","Design and Analysis of a Fault-Tolerant Mechanism for a Server-Less Video-On-Demand System ","ICPADS International Conference Parallel and Distributed Systems",128,2056
"2057","WTLeung;JackYBLee","A Server-less Architecture for Building Scalable, Reliable, and Cost-Effective Video-on-demand Systems,","Internet Workshop Collaborative Computing Higher Education Peer to Peer and Beyond",128,2057
"2058","","Parallel Video Servers: A Tutorial ","IEEE MultiMedia",128,2058
"2059","PHChan;JackYBLee","An Efficient Disk-Array-Based Server Design for a Multicast Video Streaming System,","Proc IEEE th International Conference Application specific Systems Architectures and Processors ASAP Hague",128,2059
"2060","CYChan","On Transmission Scheduling in a Server-Less Video-on-Demand System ","Euro Par",128,2060
"2061","TKHo;JackYBLee","A Novel Redundant Data Update Algorithm for Fault-Tolerant Server-less Video-on-Demand Systems,","Proc High Performance Large Scale Computing HP LSC Conference Nottingham UK",128,2061
"2062","TszKinHo","A Row-Permutated Data Reorganization Algorithm for Growing Server-less Video-on-Demand Systems ","CCGRID",128,2062
"2063","HLLai;JackYBLee;LKChen","A Monotonic-Decreasing Rate Scheduler for Variable-Bit-Rate Video Streaming,"," IEEE Transactions Circuits and Systems for Video Technology",128,2063
"2064","TKHo;JackYBLee","A Row-Permutated Data Reorganization Algorithm for Server-less Video-on-Demand Systems,","Proc International Symposium Cluster Computing and the Grid",128,2064
"2065","LSLam;JackYBLee;SCLiew;WWang","A Transparent Rate Adaptation Algorithm for Streaming Video over the Internet,","Proc th International Conference Advanced Information Networking and Applications AINA Advanced Information Networking and Applications Fukuoka",128,2065
"2066","TszKinHo","A Transpositional Redundant Data Update Algorithm for Growing Server-Less Video Streaming Systems ","Peer to Peer Computing",128,2066
"2067","JackYBLee","Buffer Management and Dimensioning for a Pull-Based Parallel Video Server,","IEEE Transactions Circuits and Systems for Video Technology",128,2067
"2068","ChunWaiKong","Slice-and-Patch - An Algorithm to Support VBR Video Streaming in a Multicast-based Video-on-Demand System ","ICPADS International Conference Parallel and Distributed Systems",128,2068
"2069","JackYBLee","Channel Folding An Algorithm to Improve Efficiency of Multicast Video-on-Demand Systems,"," IEEE Transactions Multimedia",128,2069
"2070","HLLai;LKChen;JackYBLee","VBR Video Delivery Using Monotonic-Decreasing Rate Scheduling,","Proc IEEE International Symposium Circuits and Systems Sydney",128,2070
"2071","WCLiu;JackYBLee","Constrained Consonant Broadcasting A Generalized Periodic Broadcasting Scheme for Large Scale Video Streaming,","Proc IEEE International Conference Multimedia and Expo ICME U S A",128,2071
"2072","JackYBLee","Concurrent Push - A Scheduling Algorithm for Push-Based Parallel Video Servers,","IEEE Transactions Circuits and Systems for Video Technology",128,2072
"2073","JohnCSLui","Automatic Recovery from Disk Failure in Continuous-Media Servers ","IEEE Trans Parallel Distrib Syst",128,2073
"2074","JackYBLee;WTLeung","Design and Analysis of a Fault-Tolerant Mechanism for a Server-Less Video-On-Demand System,","Proc International Conference Parallel and Distributed Systems",128,2074
"2075","PCWong;YBLee","Redundant Array of Inexpensive Servers Canada, June , , - ","ICC International Conference Communications",128,2075
"2076","JackYBLee;PCWong","Design and Performance Evaluation of A Multimedia Web Server,","Journal of Visual Communication and Image Representation",128,2076
"2077","HPSze;SCLiew;JackYBLee;CSYip","A Multiplexing Scheme for H Voice-over-IP Applications,","IEEE Journal Selected Areas Communications",128,2077
"2078","JackYBLee;CHLee","Design, Performance Analysis, and Implementation of a Super-Scalar Video-on-Demand System,","IEEE Transactions Circuits and Systems for Video Technology",128,2078
"2079","HPSze;SCLiew;JackYBLee","A Packet-Loss-Recovery Scheme for Continuous-Media Streaming over Internet,","IEEE Communications Letters",128,2079
"2080","JackYBLee","UVoD A Unified Architecture for Video-on-Demand Services,","IEEE Communications Letters",128,2080
"2081","KongChunWai;JackYBLee","Slice-and-Patch - An Algorithm to Support VBR Video Streaming in a Multicast-based Video-on-Demand System,","Journal of Information Science and Engineering",128,2081
"2082","VincentCHLee;JackYBLee","Improving UVoD System Efficiency with Batching,","Proc International Conference Software Telecommunications and Computer Networks SoftCOM Crotia",128,2082
"2083","KongChunWai;JackYBLee","Slice-and-Patch - An Algorithm to Support VBR Video Streaming in a Multicast-based Video-on-Demand System,","Proc International Conference Parallel and Distributed Systems",128,2083
"2084","HoSooLee;JayantKalagnanam;MartinBichler","Winner Determination Algorithms for Electronic Auctions: A Framework Design ","EC ACM Conference Electronic Web",129,2084
"2085","HoSooLee;PriscillaWang","A Visual One-Page Catalog Interface for Analytical Product Selection ","EC ACM Conference Electronic Web",129,2085
"2086","HoSooLee;PriscillaWang","Design and Implementation of a Visual Online Product Catalog Interface ","ICEIS International Conference Information Systems",129,2086
"2087","MarkPodlaseck","Using a starfield visualization for analyzing product performance of online stores ","ACM Conference Electronic",129,2087
"2088","MarkPodlaseck","Visualization and Analysis of Clickstream Data of Online Stores with a Parallel Coordinate System ","EC ACM Conference Electronic Web",129,2088
"2089","EdithSchonberg;MarkPodlaseck;RobertHoch","Visualization and Analysis of Clickstream Data of Online Stores for Understanding Web Merchandising ","Data Mining and Knowledge Discovery",129,2089
"2090","EdithSchonberg;MarkPodlaseck;RobertHoch;StephenGomory","Analysis and Visualization of Metrics for Online Merchandising ","WEBKDD",129,2090
"2091","Sang-gooLee;SuekyungLee","A Framework of Winner Determination Algorithms for Internet Auctions ","Human Society Internet",129,2091
"2092","Jen-YaoChung","Agent-Based Electronic Commerce: Opportunities and Challenges ","ISADS International Symposium Autonomous Decentralized Systems",129,2092
"2093","PrabhudevKonana;SudhaRam","Updating Timestamp Interval for Dynamic Adjustment of Serialization Order in Optimistic Concurrency Control-Time Interval OCCTI Protocol ","Inf Process Lett",129,2093
"2094","","ABSolute: An Information Visualization System for Decision Support in Sourcing ","International Journal of Image and Graphics",129,2094
"2095","DinggangShen;RuihuaMa;WeiXiong","Video Segment Indexing through Classification and Interactive View-Based Query ","ACCV Asian Conference Computer Vision",130,2095
"2096","LiuShengHuang;QingLi;WeiXiong","Experimental Video Database Management System Based on Advanced Object-Oriented Techniques ","Storage and Retrieval for Image and Video Databases SPIE The International Society for Optical Engineering",130,2096
"2097","Man-ChingIp;WeiXiong","Net Comparison: A Fast and Effective Method for Classifying Image Sequences ","Storage and Retrieval for Image and Video Databases SPIE The International Society for Optical Engineering",130,2097
"2098","RuihuaMa;WeiXiong","Novel Technique for Automatic Key Frame Computing ","Storage and Retrieval for Image and Video Databases SPIE The International Society for Optical Engineering",130,2098
"2099","Rui-HuaMa;WeiXiong","Automatic video data structuring through shot partitioning and key-frame computing ","Mach Vis Appl",130,2099
"2100","WeiXiong","Automatic Dominant Camera Motion Annotation for Video Retrieval ","Storage and Retrieval for Image and Video Databases SPIE The International Society for Optical Engineering",130,2100
"2101","QingLi;WeiXiong","VIMS: A Video Information Management System ","Multimedia Tools and Applications",130,2101
"2102","Ting-ChuenPong;ZoltanKato","Motion Compensated Color Video Classification Using Markov Random Fields ","ACCV Asian Conference Computer Vision",130,2102
"2103","QingLi","Dynamic Object Clustering for Video Database Manipulations ","VDB Visual Database Systems",130,2103
"2104","AnilKJain;GSudhir","Automatic Classification of Tennis Video for High-Level Content-Based Retrieval ","CAIVD",130,2104
"2105","Ting-ChuenPong;ZoltanKato","Color image segmentation and parameter estimation in a markovian framework ","Pattern Recognition Letters",130,2105
"2106","DongwookKim;JoonwonLee;SeungkyuPark","A Partitioned On-Chip Virtual Cache for Fast Processors,","Journal of Systems Architecture",131,2106
"2107","KisokKong;ManheeKim;JoonwonLee","a Rate Regurating Scheme for Scheme for Scheduling Multimedia Systems,","IEICE Transactions Information and systems",131,2107
"2108","SangbumLee;InbumJung;JoonwonLee","Buddy Coherence: An Adaptive Granularity Handling Scheme for Page-based DSM,","IEICE Transaction Information and Systems to be appeared",131,2108
"2109","Sang-KwonLee;MinheeCho;Hyeon-JuYoon;Seong-BaeEun;HyunsooYoon;JungWanCho;JoonwonLee","Design and Implementation of a Multi-Threaded TMN Agent System"," International Workshop Parallel Computing Aizu",131,2109
"2110","YunseokRhee;JoonwonLee","A Scalable Cache Coherent Architecture for Large-Scale Mesh-Connected Multiprocessors"," rd Int l Symp Parallel Architectures Algorithms and Network Taipei",131,2110
"2111","JoonwonLee;UmakishoreRamachandran","Locks, Directories, and Weak Memory: A Recipe for Scalable Shared Memory Multiprocessors"," Workshop Scalable Shared Memory Multiprocessor Serial",131,2111
"2112","YunseokRhee;JoonwonLee","A Scalable Cache Coherent Scheme Exploiting Wormhole Routing Networks","Fifth International Symposium High Performance Computer Architecture",131,2112
"2113","InseonLee;HyogunLee;JoonwonLee","An Analysis of Deadlock Detection Schemes in Multidatabase Systems"," th Intl Conf Parallel and Distributed Computing Systems Dijon",131,2113
"2114","AnandSiva;GautamSha;JoonwonLee;URamachandran;HVenkat;MemoryMultiprocessors",", International Symposium on Shared Memory Multiprocessors, Serial , Tokyo, - , ","",131,2114
"2115","HyogunLee;JoonwonLee","An Integrated Buffer management Scheme for Very Large Files,","International Journal of Computers and Application",131,2115
"2116","VivekanandVellanki;NissimHarel;NamgeunJeong;JoonwonLee;UmakishoreRamachandran","High Availability for Software DSM"," Eighth Workshop Scalable Shared Memory Multiprocessors Serial",131,2116
"2117","HyogunLee;InseonLee;;JoonwonLee","Performance Comparison of Deadlock Schemes in Multidatabase Systems,","International Journal of Computer applications Technology",131,2117
"2118","HeonYoungYeom;IlhwanKim","Analysis of buffer replacement policies for WWW proxy ","SAC Selected Areas Cryptography",131,2118
"2119","JWLee;URamachandran","Performance Evaluation of Three Parallel Algorithms in Scalable Multiprocessors,","MIT Press",131,2119
"2120","KYoon","Design of a System to Support Security Communication between a Web Proxy and a CGI Program Based on PKI ","ICPADS International Conference Parallel and Distributed Systems",131,2120
"2121","HyogunLee;ManheeKim","A Proportional-Share Scheduler for Multimedia Applications ","ICMCS International Conference Multimedia Computing and Systems",131,2121
"2122","Hyeon-JuYoon;HyunsooYoon;JungWanCho;MinheeCho;Sang-KwonLee;SeongBaeEun","Design and Implementation of a Multi-Threaded TMN Agent System ","ICPP International Conference Parallel Processing Workshops",131,2122
"2123","JeonghwanChoi;HyogunLee;JoonwonLee","A Prefetching File System for WWW Servers"," Int l Symp Internet Technology",131,2123
"2124","InbumJung;JongwoongHyun;JoongsooMa","Two-Phase Barrier: A Synchronization Primitive for Improving the Processor Utilization ","International Journal of Parallel Programming",131,2124
"2125","DWKim;JWLee","A Virtual Cache Architecture for Retaining the Process Working Sets in a Multiprogramming Environment,","IEICE Transactions Information and Systems",131,2125
"2126","DongwookKim;EunjinKim;JoonwonLee","A Virtual Cache Scheme for Improving Cache-Affinity on Multiprogrammed Shared Memory Multiprocessors"," th Int l Conf High Performance Computing Systems and Applications Edmont",131,2126
"2127","DongwookKim","A Virtual-Physical On-Chip Cache for Shared Memory Multiprocessors ","Euro Par",131,2127
"2128","DongwookKim;JoonwonLee","A Virtual-Physical On-Chip Cache for Shared Memory Multiprocessors"," Passau",131,2128
"2129","InhwanKim;HeonYYeom;JoonwonLee","Analysis of Buffer Replacement Policies for WWW Proxy"," th Int l Conf Information Networking Tokyo",131,2129
"2130","ManheeKim;HyogunLee;JoonwonLee","A Proportional-Share Scheduler for Multimedia Applications"," Int l Conf Multimedia Computing and Systems",131,2130
"2131","DongwookKim;JoonwonLee","A Partitioned On-Chip Cache for Reducing Memory Access Latency on Shared Memory Multiprocessors"," th Int l Symp High Performance Computing",131,2131
"2132","JoonwonLee;UmakishoreRamachandran","Architectural Primitives for Scalable Shared Memory Multiprocessors"," ACM Symposium Parallel Algorithm and Architecture Serial Atlantic City",131,2132
"2133","JWLee;URamachandran","A Recipe for Scalable Shared Memory Multiprocessors,","Workshop Shared Memory Multiprocessor",131,2133
"2134","JWLee;URamachandran","Synchronization with Multiprocessor Cache,","Annual International Symposium Computer Architecture Serial",131,2134
"2135","JMa;SCho","Meta-data Update Policy in a Flash Memory File System ","Journal of Research and Practice Information Technology",131,2135
"2136","URamachandran;JWLee","Cache-based Synchronization in Shared Memory Multiprocessors,","Journal of Parallel and Distributed System",131,2136
"2137","UmakishoreRamachandran","Architectural Primitives for a Scalable Shared Memory Multiprocessor ","SPAA ACM Symposium Parallel Algorithms and Architectures",131,2137
"2138","UmakishoreRamachandran","Synchronization with Multiprocessor Caches ","ISCA International Symposium Computer Architecture",131,2138
"2139","YunSeokRhee;JoonwonLee","Locks, Directories, and Synchronization in Shared Memory Multiprocessors,","Kluwer Academic Press",131,2139
"2140","YoonsukRhee;JoonwonLee","A Prefetching Scheme for Image Computing"," IEEE Int l Conf Image Processing Switzerl Rosann",131,2140
"2141","YunSeokRhee;JoonwonLee","A Scalable-Cache coherent Architecture for Large-Scale Mesh-Connected Multiprocessor,","Journal of Systems Architecture",131,2141
"2142","XMa;MWinslett;SYu","Improving MPI-IO Output Performance with Active Buffering Plus Threads,","Proceedings of the International Parallel and Distributed Processing Symposium IPDPS International Parallel and Distributed Processing Symposium Nice",132,2142
"2143","MarianneWinslett;ShengkeYu;XiaosongMa","Active buffering plus compressed migration: an integrated solution to parallel simulations' data transport needs ","ICS International Conference Supercomputing",132,2143
"2144","MarianneWinslett;ShengkeYu;XiaosongMa","Declustering Large Multidimensional Data Sets for Range Queries over Heterogeneous Disks ","SSDBM Statistical and Scientific Database Management",132,2144
"2145","MarianneWinslett;Szu-WenKuo;YingChen;YongCho","Efficient Input and Output for Scientific Simulations ","IOPADS I O Parallel and Distributed Systems",132,2145
"2146","MarianneWinslett;ShengkeYu;XiaosongMa","Faster Collective Output through Active Buffering ","IPDPS International Parallel and Distributed Processing Symposium",132,2146
"2147","MarianneWinslett;ShengkeYu;XiaosongMa","Improving MPI-IO Output Performance with Active Buffering Plus Threads ","IPDPS International Parallel and Distributed Processing Symposium",132,2147
"2148","MarianneWinslett;ShengkeYu;XiaosongMa","Enhancing Data Migration Performance via Parallel Data Compression ","IPDPS International Parallel and Distributed Processing Symposium",132,2148
"2149","MarianneWinslett;Szu-WenKuo;YongCho","New GDM-based Declustering Methods for Parallel Range Queries ","IDEAS International Database Engineering and Application Symposium",132,2149
"2150","MarianneWinslett;Szu-WenKuo;YingChen;YongECho","Parallel I/O for scientific applications on heterogeneous clusters: a resource-utilization approach ","International Conference Supercomputing",132,2150
"2151","MarianneWinslett;PeterBrezany","Parallel I/O Support for HPF on Computational Grids ","ISHPC High Performance Computing",132,2151
"2152","MarianneWinslett;ShengkeYu;XiaosongMa","Tuning high-performance scientific codes: the use of performance models to control resource usage during data migration and I/O ","ICS International Conference Supercomputing",132,2152
"2153","MWinslett;XMa;SYu","Active Buffering Plus Compressed Migration: An Integrated Solution to Parallel Simulations������������ Data Transport Needs,","Proceedings of the International Conference Supercomputing ICS International Conference Supercomputing New",132,2153
"2154","MWinslett;XMa;SYu","Declustering Large Multidimensional Data Sets for Range Queries over Heterogeneous Disks,","Proceedings of the International Conference Scientific and Statistical Database Management SSDBM Statistical and Scientific Database Management",132,2154
"2155","MWinslett;XMa;SYu","Enhancing Data Migration Performance via Parallel Data Compression,","Proceedings of the International Parallel and Distributed Processing Symposium IPDPS International Parallel and Distributed Processing Symposium Fort Lauderdale",132,2155
"2156","XMa;MWinslett;SYu","Faster Collective Output through Active Buffering,","Proceedings of the International Parallel and Distributed Processing Symposium IPDPS International Parallel and Distributed Processing Symposium Fort Lauderdale",132,2156
"2157","Jhing-FaWang;Lian-YingLiu;Ming-HwaSheu","An Expandable Chip Desing for Gray-scale Morphological Operations ","ISCAS IEEE International Symposium Circuits and Systems",133,2157
"2158","An-NanSuen;Jhing-FaWang;Lian-YingLiu;Ming-HwaSheu","A High Throughput-Rate Architecture for * -D DCT ","ISCAS IEEE International Symposium Circuits and Systems",133,2158
